 host           organization                          location
 cmo            Interactive Data Corporation          Lexington, MA
 cmpfen         Computer Fenestrations                Florida
 cmpuchm        Compuchem Inc.                        Hayward, CA
 cmr            Florida State University, School of   Tallahassee, FL
 cms2           Christian Medical & Dental Society    Richardson, Texas
 cmsi           Corporate Memory Systems, Inc.        Austin, Texas
 cmsu           National Technical University of Ath  GREECE
 cmtl01         AT&T Canada, Montreal Branch, Canada  Canada
 cmtspp         Matra Espace                          France
 cmucspt        Carnegie Mellon University, School    Pittsburgh, PA
 cmyk           Vista-Chrome, Inc.                    Tallahassee, FL
 cnea           Comision Nac.de Energia Atomica.Cent  San Martin Bs As A
 cnetlu         Centre National d'Etude des Telecomm  FRANCE
 cnlics         Coopers & Lybrand                     Parsippany, NJ
 cnmedusa       ColorNet Information Systems          Staten Island, NY
 cnmhnet        Cal-Nev. Methodist Homes              Oakland, CA
 cnode          Siemens AG, Bereich Automatisierungs  Germany
 cnrail         Canadian National Railways (C.N.),    Quebec
 cnseq1         Oracle Corporation Canada, MIS Dept.  Canada
 cnt            Computer Network Technology Corp.     New Hope, MN
 co1789         Individual                            El Cajon, CA
 coach          MMS International                     Columbus, Ohio
 coat           Burlington Coat Factory Warehouse     Lebanon, NH
 cocktrice      Mike's Playground                     New Mexico
 coconet        Coconet, Inc.                         Coral Gables, FL
 cocteau        Hospital Corporation of America       Nashville, TN
 code3          3M Health Information Systems         Murray, Utah
 codesa         Co-Design Information Ltd.            Canada
 codex          Codex Corporation                     Mansfield, MA
 coelho         Coelho Publications                   Fremont, CA
 cogen          Cogensys, Inc.                        La Jolla, CA
 cogent         Cogent Software Solutions, Inc.       Stockton, CA
 cognac         Westinghouse Research and Developmen  Pittsburgh, PA
 cognex         Cognex Corporation                    Needham, MA
 cognit         Cognitech                             France
 cognos         Cognos Incorporated                   Canada
 cogsci         University of California, Berkeley--  Berkeley, CA
 cogsys         Cognitive Systems, Inc.               Boston, MA
 coherent       Coherent Thought Inc.                 Palo Alto, CA
 cohesive       Racal-Milgo                           Los Gatos, CA
 cohorm         Cooper + Horton de l'Est Ltee.        Longueuil Quebec
 cohort         Cooper + Horton Ltd.                  Ontario
 coi            COI                                   Netherlands
 colby          Colby College                         Waterville, Maine
 cold           Twenty-First Designs                  USA
 coldbee        Rotronics, Inc.                       Ardmore Village MD
 colhealth      City of Columbus, Health Department   Attn: Sheila Milli
 colisd         Colonial Group Inc.                   Boston, MA
 collex         Communitronics of Lexington           B
 colnet         Columbus Public Access Usenet Distri  Pickerington, Ohio
 colocap        Colorado Wing, Civil Air Patrol       Colorado
 color48        Best Printing Co.                     Austin, Texas
 colornet       ColorNet Information Systems          Staten Island, NY
 colossus       edm enterprises                       Woodinville, WA
 columbed       Emergency Management Sytems           Milwaukee, WI
 columbia       Department of Computer Science, Colu  New York, New York
 com50          Com Squared Systems                   Eagan, Minnesota
 coma           TU-Berlin, FB 20 (Informatik), FG So  W Germany
 comback        Relay Site                            Quebec
 combox         COM.BOX Gilde e.G.                    Germany
 comcon         Incenter                              Alaska
 comcorp        Comspec                               Toronto Ontario
 comcorp1       American Comm Centers                 Newport Beach, CA
 comdesign      ComDesign Data Communications Group   California
 comdyfut       Commodity Futures Inc.                California
 comix          Daemonix Engineering                  Ben Lomand, CA
 comlabs        COMSAT Labs                           Clarksburg, MD
 commem         The Community Memory Project          Berkeley, CA
 comms17        Harris Corporation, Lanier Business   Atlanta, Georgia
 comms20        Harris Corporation, Lanier Business   Atlanta, Georgia
 comnet         Comnet Local Home Network             Belleville, MI
 compass        Compass, Inc.                         Wakefield, MA
 compres        Compiler Resources, Inc.              Hopkinton, MA
 compsys        Marquette University                  Wisconsin
 compuco        CompuCom Systems                      Dallas, Texas
 compug         Compugen Systems Ltd.                 Canada
 compulab       CompuLab Corp                         Ft Wright, KY
 compus         CompuSoft - Business Systems Develop  Canada
 compusci       CompuSci                              Fenton, Missouri
 compuserve     CompuServe Incorporated               Ohio
 compzrs        Computerizers                         Miami, Florida
 comspec        Comspec                               Toronto Ontario
 comsto         Comstock Associates                   Sunnyvale, CA
 comtch         CompuTech Computer Technology         Spokane, WA
 condev         Control Devices, Incorporated         Broken Arrow, OK
 conductus      Conductus, Inc.                       Sunnyvale, CA
 conexch        Dighera Data Services                 Santa Ana, CA
 conextio       Conextions, Inc.                      Andover, MA
 congrunt       Congruent Corporation                 New York, New York
 connect        Connect Software                      Costa Mesa, CA
 conngate       Connaught Labs                        Canada
 connie         CONVEX Computer GmbH                  Germany
 conrad         Steven A. Conrad, MD, PhD             Shreveport, LA
 consci         Concurrent Sciences, inc.             Moscow, Idaho
 consec         ConSec Corporation
 consltx        Consultix GmbH Computertechnologiese  Germany
 consult        Computer Consulting Service           Easton Maryland
 contact        loeffler & co.                        scarborough ont
 contek         Connection Technologies               Harvard, MA
 contel0        Contel IPC                            Stamford, CT
 contex         Xyvision Design Systems               Wakefield, MA
 contour        Contour Computer Services             Milpitas, CA
 control        Endless Quest                         Foster City, CA
 convex         Convex Computer Corporation           Richardson, Texas
 convexw        Convex Computer Corporation           San Jose, CA
 cookie         Tiger Software, Inc.                  Omaha, Nebraska
 cookman        Bethune-Cookman College               Daytona Beach, FL
 coop           Cooperative Computer Services         Phoenix, Arizona
 cooper         The Cooper Union for the Advancement  NY, New York
 copade         Consejo de Planificacion y Accion pa  ARGENTINA
 copi           Coordinated Office Programs, Inc.     Columbus, Ohio
 coplex         Copper Electronics, Inc.              Louisville, KY
 cordis         Cordis Corporation                    Florida
 corelab        Core Labortories - Division of Weste  Houston, Texas
 cornell        Cornell University, Computer Science  Ithaca, New York
 cornwall       PMP, Inc.                             New York City, NY
 corpane        Corpane Industries Incorporated       Louisville, KY
 cort586        Cort Furniture                        Fairfax, Virginia
 corton         Fnet, c/o INRIA                       France
 corum          Unisys Corporation                    Eagan, Minnesota
 corydon        Service Enterprises, Inc.             Santa Barbara, CA
 cos            Corporation for Open Systems          McLean, Virginia
 cosi           COS, Inc.                             Lawrenceville, NJ
 cosmo          CosmoNet Kommunikationssysteme GmbH   W Germany
 cosmos         Korea Advanced Institute of Science   Republic of Korea
 cosoco         Component Software Corporation        Concord, MA
 costello       Broward Community College             Davie, Florida
 cosys          CoSYSTEMS, Inc. (U.S.A)               Santa Clara, CA
 cott01         ATT Canada Inc.                       Canada
 count0         BenaTong                              Columbus, Ohio
 countach       Smalls Associates                     Piscataway, NJ
 coxeng1        Cox Engineering Company               Brighton, MA
